epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.656,1.56658,2.89335,1.80201,0.00246,1,0.81063,0.54402,0.89751,3.63288,1.23392,0.00024,0.00024,0.00024
2,126.499,1.15207,1.89436,1.40358,0.00518,1,0.79686,0.4627,1.0408,3.67578,1.40378,0.0004901,0.0004901,0.0004901
3,186.596,1.20732,1.8453,1.43981,0.87674,0.41912,0.91229,0.40162,1.20348,3.51031,1.443,0.000729904,0.000729904,0.000729904
4,273.479,1.16421,1.83355,1.44848,0.86763,0.7715,0.90266,0.6053,1.05497,2.94787,1.52432,0.000959412,0.000959412,0.000959412
5,337.058,1.20911,1.77504,1.52355,0.91588,0.64093,0.76463,0.40305,1.37822,2.98118,1.79939,0.00117862,0.00117862,0.00117862
6,401.279,1.22034,1.73492,1.45754,0.27486,0.64706,0.25723,0.14053,1.58195,6.18881,1.80628,0.00138754,0.00138754,0.00138754
7,467.177,1.21403,1.60741,1.43346,0.42996,0.52941,0.43514,0.24674,1.9633,3.56929,2.04403,0.00158616,0.00158616,0.00158616
8,568.738,1.20615,1.50598,1.44091,0.8869,0.70588,0.83186,0.45649,1.6784,2.20222,1.7539,0.0017228,0.0017228,0.0017228
9,684.281,1.15159,1.4715,1.4196,0.88394,0.70588,0.80448,0.42705,1.37377,3.61359,1.67877,0.0016832,0.0016832,0.0016832
10,836.894,1.25271,1.45801,1.46471,0.60597,0.76471,0.63106,0.28886,1.48025,4.72719,1.88652,0.0016436,0.0016436,0.0016436
11,966.979,1.23857,1.36908,1.4578,0.41255,0.70238,0.40641,0.11464,2.68795,3.61263,2.67366,0.001604,0.001604,0.001604
12,1084.67,1.22424,1.4463,1.39688,0.93058,0.35294,0.47183,0.20392,2.3667,2.84733,2.22409,0.0015644,0.0015644,0.0015644
13,1194.54,1.14436,1.24522,1.35271,0.72872,0.64706,0.68724,0.335,2.07539,2.26294,2.2347,0.0015248,0.0015248,0.0015248
14,1305.79,1.07178,1.16368,1.35648,0.98855,0.94118,0.94816,0.68978,1.1383,1.9335,1.54939,0.0014852,0.0014852,0.0014852
15,1403.59,1.14453,1.22344,1.35844,0.96313,0.88235,0.94634,0.53875,1.33861,1.97647,1.95301,0.0014456,0.0014456,0.0014456
16,1503.45,1.09322,1.18152,1.38287,0.91138,1,0.97556,0.64636,1.29867,1.58063,1.50003,0.001406,0.001406,0.001406
17,1609.06,1.12084,1.10134,1.3416,0.81968,0.64706,0.70454,0.32279,1.78065,2.08249,2.02688,0.0013664,0.0013664,0.0013664
18,1701.39,1.1446,1.11303,1.37183,0.89466,0.99925,0.92436,0.58313,1.1596,1.47826,1.52499,0.0013268,0.0013268,0.0013268
19,1791.06,1.15064,1.11749,1.3769,0.91212,0.88235,0.96588,0.45763,1.62449,1.37394,1.69028,0.0012872,0.0012872,0.0012872
20,1890.08,1.13694,1.08527,1.36446,0.71198,0.64706,0.69532,0.41081,1.45139,1.76396,1.50913,0.0012476,0.0012476,0.0012476
21,1997.97,1.12109,1.02854,1.34555,0.93301,0.81949,0.93601,0.5868,1.39718,1.25831,1.4708,0.001208,0.001208,0.001208
22,2120.85,1.09826,0.99818,1.34227,1,0.91951,0.96167,0.35194,2.14063,1.62396,2.06264,0.0011684,0.0011684,0.0011684
