epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,2217.94,1.10169,0.99488,1.33878,0.88569,1,0.98621,0.65215,1.07058,1.0052,1.34016,0.0011288,0.0011288,0.0011288
24,2321.13,1.02856,0.91172,1.30414,0.92213,0.69722,0.82792,0.54039,1.27979,1.27493,1.29906,0.0010892,0.0010892,0.0010892
25,2437.22,1.02728,0.92075,1.28368,0.93169,0.82353,0.9528,0.78266,0.78103,0.97559,1.20122,0.0010496,0.0010496,0.0010496
26,2610.95,1.00322,0.88031,1.28518,0.89452,0.99782,0.97562,0.77677,0.71707,0.86345,1.13876,0.00101,0.00101,0.00101
27,2864.34,1.09033,0.88862,1.29505,0.89429,0.99547,0.98342,0.77607,0.72873,0.8633,1.13562,0.0009704,0.0009704,0.0009704
28,2972.46,1.0194,0.84247,1.26997,0.94193,1,0.98889,0.87411,0.64155,0.7523,1.02912,0.0009308,0.0009308,0.0009308
29,3077.18,0.99854,0.87487,1.31422,0.94398,0.99156,0.98889,0.75575,0.82965,0.73996,1.0636,0.0008912,0.0008912,0.0008912
30,3183.15,0.98698,0.84382,1.26729,0.84236,0.94311,0.97417,0.78286,0.80469,0.87322,1.22925,0.0008516,0.0008516,0.0008516
31,3279.71,0.94439,0.80391,1.26697,0.94099,0.93814,0.97915,0.69858,0.83096,0.86183,1.25248,0.000812,0.000812,0.000812
32,3375.12,0.99364,0.80888,1.27534,0.8854,1,0.96503,0.70732,0.88347,0.8259,1.1792,0.0007724,0.0007724,0.0007724
33,3483.95,0.88359,0.76629,1.21193,0.90206,0.82353,0.92456,0.66644,0.89774,1.04314,1.25903,0.0007328,0.0007328,0.0007328
34,3579.89,0.98267,0.83139,1.28022,0.94114,0.94055,0.97194,0.70261,0.95474,0.89078,1.24095,0.0006932,0.0006932,0.0006932
35,3674.65,0.9224,0.79364,1.26862,0.94073,0.93405,0.98397,0.76218,0.90405,0.80012,1.169,0.0006536,0.0006536,0.0006536
36,3768.24,0.91176,0.76804,1.22998,0.94075,0.93441,0.97915,0.7559,0.88302,0.78078,1.13582,0.000614,0.000614,0.000614
37,3870.24,0.91983,0.73706,1.23489,0.94088,0.93648,0.98268,0.77712,0.81135,0.73459,1.12535,0.0005744,0.0005744,0.0005744
38,3961.65,0.92013,0.72457,1.22374,0.9811,0.88235,0.97881,0.82472,0.73476,0.72037,1.11532,0.0005348,0.0005348,0.0005348
39,4073.74,0.85095,0.72712,1.22845,0.967,0.88235,0.96842,0.77159,0.8742,0.78654,1.12088,0.0004952,0.0004952,0.0004952
40,4176.53,0.87065,0.72029,1.18097,0.98736,0.88235,0.96822,0.81467,0.75002,0.77096,1.04677,0.0004556,0.0004556,0.0004556
41,4271.87,0.8806,0.85484,1.33982,0.98905,0.88235,0.97881,0.77715,0.83503,0.70646,1.08164,0.000416,0.000416,0.000416
42,5146.95,0.79757,0.71749,1.28233,0.99284,0.88235,0.95678,0.66264,1.19876,0.87323,1.29012,0.0003764,0.0003764,0.0003764
43,5536.83,0.73926,0.63271,1.2159,0.9914,0.88235,0.97697,0.74877,0.88034,0.7475,1.07804,0.0003368,0.0003368,0.0003368
44,5638.81,0.75801,0.5987,1.31033,0.94081,0.93528,0.98621,0.80813,0.67581,0.61304,0.94525,0.0002972,0.0002972,0.0002972
45,5727.4,0.73277,0.62721,1.23687,0.99372,0.88235,0.9785,0.80315,0.7275,0.62237,0.98578,0.0002576,0.0002576,0.0002576
46,5817.85,0.68541,0.57684,1.17866,0.99326,0.88235,0.9785,0.76674,0.84885,0.61665,1.03115,0.000218,0.000218,0.000218
47,5925.54,0.64863,0.57321,1.17707,0.99114,0.88235,0.98083,0.78991,0.76948,0.6014,0.99525,0.0001784,0.0001784,0.0001784
48,6017.6,0.63765,0.54647,1.13637,0.89333,0.98585,0.98342,0.83785,0.58773,0.59221,0.92606,0.0001388,0.0001388,0.0001388
49,6140.48,0.61171,0.53182,1.1549,0.94084,0.93586,0.98621,0.85213,0.58026,0.57849,0.93105,9.92e-05,9.92e-05,9.92e-05
50,6245.55,0.61515,0.51137,1.12882,0.94089,0.93658,0.98621,0.85713,0.58163,0.58062,0.93354,5.96e-05,5.96e-05,5.96e-05
