epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,683.622,0.81123,1.10343,1.14967,0.93572,0.88889,0.94687,0.74103,0.79249,1.625,1.094,0.0012476,0.0012476,0.0012476
21,717.613,0.94422,1.16757,1.20416,0.95686,1,0.995,0.75621,0.81559,1.87195,1.23973,0.001208,0.001208,0.001208
22,751.517,0.96947,1.49145,1.3629,0.97163,0.88889,0.95571,0.77098,0.78392,2.57297,1.28174,0.0011684,0.0011684,0.0011684
23,785.291,0.80007,1.13132,1.17554,0.81,0.95003,0.94125,0.79283,0.64561,2.37777,1.1542,0.0011288,0.0011288,0.0011288
24,818.755,0.75785,0.91028,1.09214,0.61002,0.77778,0.74165,0.39748,0.79459,2.51886,1.1749,0.0010892,0.0010892,0.0010892
25,852.507,0.76674,0.91535,1.095,0.6693,0.77778,0.71909,0.51434,0.80393,1.89819,1.20853,0.0010496,0.0010496,0.0010496
26,886.825,0.8739,0.93649,1.17548,0.62603,1,0.77905,0.57325,0.74581,1.51853,1.17971,0.00101,0.00101,0.00101
27,920.446,0.73086,0.88844,1.10493,0.97736,0.77778,0.93115,0.80148,0.67661,1.58922,1.04088,0.0009704,0.0009704,0.0009704
28,957.02,0.85103,0.91302,1.14419,0.88021,0.81942,0.93465,0.75146,0.74034,1.58627,1.05141,0.0009308,0.0009308,0.0009308
29,992.091,0.63088,0.86437,1.06439,0.99945,0.88889,0.951,0.72758,0.87069,1.57643,1.14572,0.0008912,0.0008912,0.0008912
30,1028.43,0.76159,0.8049,1.10022,0.81701,1,0.96278,0.77956,0.70696,1.2381,1.01741,0.0008516,0.0008516,0.0008516
31,1062.31,0.72149,0.79054,1.07968,0.97237,1,0.995,0.85378,0.73949,1.1519,1.00271,0.000812,0.000812,0.000812
32,1095.88,0.79238,0.72594,1.07941,0.97905,1,0.995,0.88417,0.60327,0.95094,0.93202,0.0007724,0.0007724,0.0007724
33,1129.22,0.67038,0.7468,1.08185,0.98978,1,0.995,0.86786,0.56047,0.83908,0.92088,0.0007328,0.0007328,0.0007328
34,1163.5,0.72289,0.78796,1.06344,0.99189,1,0.995,0.83811,0.67187,0.84657,1.0086,0.0006932,0.0006932,0.0006932
35,1200.59,0.63291,0.89041,1.04673,0.99353,1,0.995,0.84037,0.7313,0.8375,1.00426,0.0006536,0.0006536,0.0006536
36,1234.52,0.6596,0.69392,1.04255,1,0.99359,0.995,0.83368,0.66561,0.87811,1.00188,0.000614,0.000614,0.000614
37,1268.54,0.63951,0.70964,1.03704,0.99823,1,0.995,0.88452,0.56117,0.8011,0.92199,0.0005744,0.0005744,0.0005744
38,1302.24,0.64104,0.78612,1.04512,1,0.99938,0.995,0.8958,0.53039,0.79287,0.86583,0.0005348,0.0005348,0.0005348
39,1336.04,0.66956,0.71423,1.03494,1,0.99011,0.995,0.88714,0.5583,0.80321,0.8557,0.0004952,0.0004952,0.0004952
40,1369.71,0.71965,0.67743,1.11473,1,0.99161,0.995,0.89232,0.56158,0.75366,0.86888,0.0004556,0.0004556,0.0004556
41,1404.17,0.52763,0.86005,1.02591,1,0.99719,0.995,0.86735,0.56218,0.73874,0.84827,0.000416,0.000416,0.000416
42,1437.12,0.65041,0.85602,1.12961,0.9948,1,0.995,0.84806,0.64858,0.81264,0.91756,0.0003764,0.0003764,0.0003764
43,1471.3,0.55241,0.79538,1.0362,0.99351,1,0.995,0.85142,0.60902,0.879,0.88616,0.0003368,0.0003368,0.0003368
44,1504.63,0.45526,1.24342,0.93028,0.99315,1,0.995,0.88323,0.52697,0.88251,0.8346,0.0002972,0.0002972,0.0002972
45,1538.04,0.56918,0.99219,1.08314,0.99426,1,0.995,0.91003,0.47999,0.7881,0.80293,0.0002576,0.0002576,0.0002576
46,1570.98,0.65825,0.87417,1.20555,0.99463,1,0.995,0.91029,0.45164,0.69625,0.78107,0.000218,0.000218,0.000218
47,1606.34,0.51926,0.73708,1.04294,0.99412,1,0.995,0.91029,0.44241,0.67146,0.77607,0.0001784,0.0001784,0.0001784
48,1641.82,0.50118,0.69382,1.03414,0.99488,1,0.995,0.92982,0.43674,0.64753,0.77508,0.0001388,0.0001388,0.0001388
49,1677.78,0.44854,0.98417,0.90231,0.9958,1,0.995,0.93257,0.44272,0.65351,0.77632,9.92e-05,9.92e-05,9.92e-05
50,1715.1,0.41557,1.16808,0.86358,0.99663,1,0.995,0.93061,0.44547,0.64983,0.77856,5.96e-05,5.96e-05,5.96e-05
