epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.4097,1.23162,4.58161,1.55326,0.00214,1,0.81161,0.46716,0.55,3.66202,0.98575,0.00014,0.00014,0.00014
2,69.3497,0.91495,2.69046,1.29114,0.00214,1,0.995,0.64129,1.00516,3.6149,1.21962,0.00029406,0.00029406,0.00029406
3,103.614,0.86744,1.98362,1.26482,0.00214,1,0.9675,0.76626,0.60551,3.58237,0.97088,0.000441784,0.000441784,0.000441784
4,137.862,0.89521,1.75805,1.2145,1,0.39411,0.995,0.62446,0.80281,3.45374,1.45899,0.000583172,0.000583172,0.000583172
5,171.103,0.84676,1.74425,1.17504,0.08901,1,0.88715,0.6249,0.86354,3.6761,1.22774,0.000718224,0.000718224,0.000718224
6,204.633,1.24381,2.70321,1.49121,0.70894,0.77778,0.92625,0.49285,1.2969,3.56062,1.50927,0.00084694,0.00084694,0.00084694
7,238.761,0.98627,1.96354,1.24541,1,0.8834,0.984,0.77569,0.79005,2.8741,1.4506,0.00096932,0.00096932,0.00096932
8,271.834,0.91128,1.67517,1.24099,0.80219,1,0.91389,0.73529,0.80696,2.88171,1.46077,0.00108536,0.00108536,0.00108536
9,305.741,0.94438,1.66024,1.1971,0.93027,1,0.995,0.76108,1.08531,3.49295,1.68112,0.00119507,0.00119507,0.00119507
10,339.517,0.86265,3.01358,1.093,1,0.99292,0.995,0.85572,0.72321,2.36538,1.18749,0.00129844,0.00129844,0.00129844
11,373.707,0.82559,2.80943,1.07514,0.59933,0.55556,0.6454,0.35904,0.84769,3.47093,1.31096,0.00139548,0.00139548,0.00139548
12,407.473,0.94977,1.44065,1.27406,0.8694,0.88889,0.91861,0.57148,0.85448,3.55844,1.37501,0.00148618,0.00148618,0.00148618
13,442.842,0.85075,1.3592,1.20538,0.76168,0.88889,0.95571,0.4831,1.08427,4.29282,1.39966,0.0015248,0.0015248,0.0015248
14,476.557,0.89369,1.30181,1.17738,0.70297,0.78989,0.82738,0.4711,1.13044,2.76447,1.35422,0.0014852,0.0014852,0.0014852
15,510.189,0.86398,1.46118,1.17228,1,0.86796,0.90237,0.68747,1.09392,1.92116,1.37932,0.0014456,0.0014456,0.0014456
16,546.415,0.93759,1.47171,1.15281,0.79305,0.85413,0.85109,0.666,1.02353,2.31779,1.38301,0.001406,0.001406,0.001406
17,582.383,0.84738,1.16571,1.17375,0.72187,1,0.89111,0.42898,1.98455,2.47745,2.75583,0.0013664,0.0013664,0.0013664
18,616.037,0.92311,1.20238,1.17902,0.48688,0.88889,0.59805,0.29977,1.89873,2.76611,2.51033,0.0013268,0.0013268,0.0013268
19,650.418,0.85742,1.15125,1.16214,0.53479,0.66667,0.56936,0.25994,1.27814,2.59673,1.53582,0.0012872,0.0012872,0.0012872
